maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,0.2428,30,geneticAlg;0.8;0.01,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,0.2505,30,geneticAlg;0.8;0.05,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,0.2526,30,geneticAlg;0.8;0.2,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9707113,0.9707113,0,54.0917,30,islands;0.8;0.01;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9707113,0.9707113,0,57.7174,30,islands;0.8;0.05;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9707113,0.9707113,0,62.5987,30,islands;0.8;0.2;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9623431,0.9387727,0.0051989,0.5761,30,geneticAlg;0.8;0.01,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9707113,0.9529986,0.0035953,0.5833,30,geneticAlg;0.8;0.05,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
0.9707113,0.9564854,0.0022619,0.6203,30,geneticAlg;0.8;0.2,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,317.8471,30,islands;0.8;0.01;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,405.8112,30,islands;0.8;0.05;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,612.6155,30,islands;0.8;0.2;3,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,0.9998326,0.0000028,3.3179,30,geneticAlg;0.8;0.01,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,0.9999283,0.0000014,3.5296,30,geneticAlg;0.8;0.05,,
,,,,,,,
maxFitness,averageScore,stdDeviation,time,fitnessCalls,algorithmInfo,,
1,1,0,4.5984,30,geneticAlg;0.8;0.2,,
