"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"21.2757";"30";"islands;0.8;0.01;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"25.0389";"30";"islands;0.8;0.05;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"25.7355";"2";"islands;0.8;0.2;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"0.2636";"30";"geneticAlg;0.8;0.01";

"index";"fitness";
"0";"1.0000000";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"0.2810";"2";"geneticAlg;0.8;0.2";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"8.7774";"30";"islands;0.8;0.01;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"9.8153";"30";"islands;0.8;0.05;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"10.5466";"30";"islands;0.8;0.2;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"0.1016";"30";"geneticAlg;0.8;0.01";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"0.1026";"30";"geneticAlg;0.8;0.05";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"1.0000000";"1.0000000";"0.0000000";"0.1052";"30";"geneticAlg;0.8;0.2";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"0.9793564";"0.9781218";"0.0001272";"375.8895";"30";"islands;0.8;0.01;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"0.9793564";"0.9786480";"0.0000849";"464.3487";"30";"islands;0.8;0.05;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
"0.9793564";"0.9789719";"0.0000107";"637.6458";"30";"islands;0.8;0.2;3";

"maxFitness";"averageScore";"stdDeviation";"time";"fitnessCalls";"algorithmInfo";
